Date,Health Zone,Province,Confirmed Cases,Confirmed Deaths
5/27/2026,Miti-Murhesa,Sud-Kivu,1,0
5/27/2026,Mongbwalu,Ituri,20,0
5/27/2026,Nizi,Ituri,2,0
5/27/2026,Nyankunde,Ituri,10,0
5/27/2026,Oicha,Nord-Kivu,2,
5/27/2026,Rimba,Ituri,0,
5/27/2026,Rwampara,Ituri,33,2
5/28/2026,Aru,Ituri,2,1
5/28/2026,Aungba,Ituri,1,0
5/28/2026,Bambu,Ituri,2,2
5/28/2026,Beni,Nord-Kivu,2,0
5/28/2026,Bunia,Ituri,80,8
5/28/2026,Butembo,Nord-Kivu,5,2
5/28/2026,Damas,Ituri,1,0
5/28/2026,Gety,Ituri,1,0
5/28/2026,Goma,Nord-Kivu,1,0
5/28/2026,Kalunguta,Nord-Kivu,1,1
5/28/2026,Karisimbi,Nord-Kivu,0,0
5/28/2026,Katwa,Nord-Kivu,4,3
5/28/2026,Kilo,Ituri,2,0
5/28/2026,Komanda,Ituri,1,1
5/28/2026,Kyondo,Nord-Kivu,1,0
5/28/2026,Lita,Ituri,1,0
5/28/2026,Mangala,Ituri,1,0
5/28/2026,Miti-Murhesa,Sud-Kivu,3,1
5/28/2026,Mongbwalu,Ituri,47,10
5/28/2026,Nizi,Ituri,2,0
5/28/2026,Nyankunde,Ituri,19,1
5/28/2026,Oicha,Nord-Kivu,1,0
5/28/2026,Rwampara,Ituri,65,13
5/29/2026,Aru,Ituri,2,1
5/29/2026,Aungba,Ituri,1,0
5/29/2026,Bambu,Ituri,2,2
5/29/2026,Beni,Nord-Kivu,2,0
5/29/2026,Bunia,Ituri,80,8
5/29/2026,Butembo,Nord-Kivu,5,2
5/29/2026,Damas,Ituri,1,0
5/29/2026,Gety,Ituri,1,0
5/29/2026,Goma,Nord-Kivu,1,0
5/29/2026,Kalunguta,Nord-Kivu,1,1
5/29/2026,Karisimbi,Nord-Kivu,0,0
5/29/2026,Katwa,Nord-Kivu,4,3
5/29/2026,Kilo,Ituri,2,0
5/29/2026,Komanda,Ituri,1,0
5/29/2026,Kyondo,Nord-Kivu,1,0
5/29/2026,Lita,Ituri,1,0
5/29/2026,Mangala,Ituri,1,0
5/29/2026,Manguredjipa,Nord-Kivu,0,
5/29/2026,Miti-Murhesa,Sud-Kivu,3,1
5/29/2026,Mongbwalu,Ituri,47,10
5/29/2026,Nizi,Ituri,2,0
5/29/2026,Nyankunde,Ituri,19,1
5/29/2026,Oicha,Nord-Kivu,1,0
5/29/2026,Rwampara,Ituri,65,13
5/30/2026,Aru,Ituri,2,1
5/30/2026,Aungba,Ituri,1,0
5/30/2026,Bambu,Ituri,2,2
5/30/2026,Beni,Nord-Kivu,2,0
5/30/2026,Bunia,Ituri,80,8
5/30/2026,Butembo,Nord-Kivu,5,2
5/30/2026,Damas,Ituri,1,0
5/30/2026,Gety,Ituri,1,0
5/30/2026,Goma,Nord-Kivu,1,0
5/30/2026,Kalunguta,Nord-Kivu,1,1
5/30/2026,Karisimbi,Nord-Kivu,0,0
5/30/2026,Katwa,Nord-Kivu,4,3
5/30/2026,Kilo,Ituri,2,0
5/30/2026,Komanda,Ituri,1,0
5/30/2026,Kyondo,Nord-Kivu,1,0
5/30/2026,Lita,Ituri,1,0
5/30/2026,Mangala,Ituri,1,0
5/30/2026,Manguredjipa,Nord-Kivu,0,
5/30/2026,Miti-Murhesa,Sud-Kivu,3,1
5/30/2026,Mongbwalu,Ituri,47,10
5/30/2026,Nizi,Ituri,2,0
5/30/2026,Nyankunde,Ituri,19,1
5/30/2026,Oicha,Nord-Kivu,1,0
5/30/2026,Rwampara,Ituri,65,13
6/1/2026,Aru,Ituri,2,1
6/1/2026,Aungba,Ituri,1,0
6/1/2026,Bambu,Ituri,2,2
6/1/2026,Beni,Nord-Kivu,5,3
6/1/2026,Bunia,Ituri,80,8
6/1/2026,Butembo,Nord-Kivu,2,2
6/1/2026,Damas,Ituri,1,0
6/1/2026,Gety,Ituri,1,0
6/1/2026,Goma,Nord-Kivu,1,0
6/1/2026,Kalunguta,Nord-Kivu,1,1
6/1/2026,Katwa,Nord-Kivu,7,5
6/1/2026,Kilo,Ituri,2,0
6/1/2026,Komanda,Ituri,1,0
6/1/2026,Kyondo,Nord-Kivu,1,0
6/1/2026,Lita,Ituri,1,0
6/1/2026,Logo,Ituri,1,0
6/1/2026,Mambasa,Ituri,2,1
6/1/2026,Mangala,Ituri,1,0
6/1/2026,Miti-Murhesa,Sud-Kivu,3,1
6/1/2026,Mongbwalu,Ituri,47,10
6/1/2026,Nizi,Ituri,2,0
6/1/2026,Nyankunde,Ituri,19,1
6/1/2026,Oicha,Nord-Kivu,2,2
6/1/2026,Rwampara,Ituri,65,13
6/2/2026,Aru,Ituri,2,1
6/2/2026,Aungba,Ituri,1,0
6/2/2026,Bambu,Ituri,2,2
6/2/2026,Beni,Nord-Kivu,5,3
6/2/2026,Bunia,Ituri,85,8
6/2/2026,Butembo,Nord-Kivu,2,2
6/2/2026,Damas,Ituri,2,0
6/2/2026,Gety,Ituri,1,0
6/2/2026,Goma,Nord-Kivu,1,0
6/2/2026,Kalunguta,Nord-Kivu,1,1
6/2/2026,Katwa,Nord-Kivu,7,5
6/2/2026,Kilo,Ituri,2,0
6/2/2026,Komanda,Ituri,1,0
6/2/2026,Kyondo,Nord-Kivu,1,0
6/2/2026,Lita,Ituri,1,0
6/2/2026,Logo,Ituri,1,0
6/2/2026,Mambasa,Ituri,2,1
6/2/2026,Mangala,Ituri,1,0
6/2/2026,Miti-Murhesa,Sud-Kivu,3,1
6/2/2026,Mongbwalu,Ituri,47,10
6/2/2026,Nizi,Ituri,2,0
6/2/2026,Nyankunde,Ituri,22,1
6/2/2026,Oicha,Nord-Kivu,2,2
6/2/2026,Rimba,Ituri,3,0
6/2/2026,Rwampara,Ituri,72,15
6/3/2026,Aru,Ituri,2,1
6/3/2026,Aungba,Ituri,1,0
6/3/2026,Bambu,Ituri,2,2
6/3/2026,Beni,Nord-Kivu,5,3
6/3/2026,Bunia,Ituri,97,9
6/3/2026,Butembo,Nord-Kivu,2,2
6/3/2026,Damas,Ituri,3,0
6/3/2026,Gety,Ituri,1,0
6/3/2026,Goma,Nord-Kivu,1,0
6/3/2026,Kalunguta,Nord-Kivu,1,1
6/3/2026,Katwa,Nord-Kivu,7,5
6/3/2026,Kilo,Ituri,2,0
6/3/2026,Komanda,Ituri,1,0
6/3/2026,Kyondo,Nord-Kivu,1,0
6/3/2026,Lita,Ituri,2,0
6/3/2026,Mangala,Ituri,1,0
6/3/2026,Miti-Murhesa,Sud-Kivu,3,1
6/3/2026,Mongbwalu,Ituri,47,10
6/3/2026,Nizi,Ituri,2,0
6/3/2026,Nyankunde,Ituri,22,1
6/3/2026,Oicha,Nord-Kivu,2,2
6/3/2026,Rwampara,Ituri,76,16
6/4/2026,Aru,Ituri,3,1
6/4/2026,Aungba,Ituri,1,0
6/4/2026,Bambu,Ituri,5,2
6/4/2026,Beni,Nord-Kivu,5,3
6/4/2026,Bunia,Ituri,123,11
6/4/2026,Butembo,Nord-Kivu,4,2
6/4/2026,Damas,Ituri,3,0
6/4/2026,Gety,Ituri,1,0
6/4/2026,Goma,Nord-Kivu,1,0
6/4/2026,Kalunguta,Nord-Kivu,1,1
6/4/2026,Katwa,Nord-Kivu,11,7
6/4/2026,Kilo,Ituri,3,1
6/4/2026,Komanda,Ituri,3,0
6/4/2026,Kyondo,Nord-Kivu,1,0
6/4/2026,Lita,Ituri,3,0
6/4/2026,Logo,Ituri,2,0
6/4/2026,Mambasa,Ituri,2,1
6/4/2026,Mangala,Ituri,1,0
6/4/2026,Miti-Murhesa,Sud-Kivu,1,1
6/4/2026,Mongbwalu,Ituri,64,21
6/4/2026,Nizi,Ituri,5,0
6/4/2026,Nyankunde,Ituri,22,1
6/4/2026,Oicha,Nord-Kivu,2,2
6/4/2026,Rimba,Ituri,3,0
6/4/2026,Rwampara,Ituri,86,18
6/5/2026,Aru,Ituri,3,1
6/5/2026,Aungba,Ituri,1,0
6/5/2026,Bambu,Ituri,5,2
6/5/2026,Beni,Nord-Kivu,5,3
6/5/2026,Bunia,Ituri,138,14
6/5/2026,Butembo,Nord-Kivu,4,2
6/5/2026,Damas,Ituri,3,0
6/5/2026,Gety,Ituri,1,0
6/5/2026,Goma,Nord-Kivu,1,0
6/5/2026,Kalunguta,Nord-Kivu,1,1
6/5/2026,Katwa,Nord-Kivu,11,7
6/5/2026,Kilo,Ituri,4,1
6/5/2026,Komanda,Ituri,3,0
6/5/2026,Kyondo,Nord-Kivu,1,0
6/5/2026,Lita,Ituri,4,0
6/5/2026,Logo,Ituri,2,0
6/5/2026,Mambasa,Ituri,2,1
6/5/2026,Mangala,Ituri,1,0
6/5/2026,Miti-Murhesa,Sud-Kivu,3,1
6/5/2026,Mongbwalu,Ituri,74,21
6/5/2026,Nizi,Ituri,5,0
6/5/2026,Nyankunde,Ituri,24,1
6/5/2026,Oicha,Nord-Kivu,2,2
6/5/2026,Rimba,Ituri,3,0
6/5/2026,Rwampara,Ituri,93,19
6/6/2026,Aru,Ituri,3,1
6/6/2026,Aungba,Ituri,1,0
6/6/2026,Bambu,Ituri,5,2
6/6/2026,Beni,Nord-Kivu,5,3
6/6/2026,Bunia,Ituri,142,14
6/6/2026,Butembo,Nord-Kivu,4,2
6/6/2026,Damas,Ituri,3,0
6/6/2026,Gety,Ituri,1,0
6/6/2026,Goma,Nord-Kivu,1,0
6/6/2026,Kalunguta,Nord-Kivu,1,1
6/6/2026,Katwa,Nord-Kivu,11,8
6/6/2026,Kilo,Ituri,4,1
6/6/2026,Komanda,Ituri,3,0
6/6/2026,Kyondo,Nord-Kivu,1,0
6/6/2026,Lita,Ituri,4,0
6/6/2026,Logo,Ituri,2,0
6/6/2026,Mambasa,Ituri,2,1
6/6/2026,Mangala,Ituri,1,0
6/6/2026,Miti-Murhesa,Sud-Kivu,3,1
6/6/2026,Mongbwalu,Ituri,92,25
6/6/2026,Nizi,Ituri,5,0
6/6/2026,Nyankunde,Ituri,24,1
6/6/2026,Oicha,Nord-Kivu,2,2
6/6/2026,Rimba,Ituri,3,0
6/6/2026,Rwampara,Ituri,98,19
6/7/2026,Aru,Ituri,3,1
6/7/2026,Aungba,Ituri,1,0
6/7/2026,Bambu,Ituri,5,2
6/7/2026,Beni,Nord-Kivu,9,7
6/7/2026,Bunia,Ituri,152,15
6/7/2026,Butembo,Nord-Kivu,4,2
6/7/2026,Damas,Ituri,3,0
6/7/2026,Gety,Ituri,1,0
6/7/2026,Goma,Nord-Kivu,1,0
6/7/2026,Kalunguta,Nord-Kivu,1,1
6/7/2026,Katwa,Nord-Kivu,11,8
6/7/2026,Kilo,Ituri,4,1
6/7/2026,Komanda,Ituri,3,0
6/7/2026,Kyondo,Nord-Kivu,1,0
6/7/2026,Lita,Ituri,4,0
6/7/2026,Logo,Ituri,2,0
6/7/2026,Mambasa,Ituri,2,1
6/7/2026,Mangala,Ituri,1,0
6/7/2026,Miti-Murhesa,Sud-Kivu,3,1
6/7/2026,Mongbwalu,Ituri,98,29
6/7/2026,Nizi,Ituri,5,0
6/7/2026,Nyankunde,Ituri,26,1
6/7/2026,Oicha,Nord-Kivu,2,2
6/7/2026,Rimba,Ituri,3,0
6/7/2026,Rwampara,Ituri,111,20
6/8/2026,Aru,Ituri,3,1
6/8/2026,Aungba,Ituri,2,1
6/8/2026,Bambu,Ituri,5,2
6/8/2026,Beni,Nord-Kivu,9,7
6/8/2026,Bunia,Ituri,163,15
6/8/2026,Butembo,Nord-Kivu,6,4
6/8/2026,Damas,Ituri,3,0
6/8/2026,Gety,Ituri,1,0
6/8/2026,Goma,Nord-Kivu,1,0
6/8/2026,Kalunguta,Nord-Kivu,1,1
6/8/2026,Katwa,Nord-Kivu,12,8
6/8/2026,Kilo,Ituri,4,1
6/8/2026,Komanda,Ituri,3,0
6/8/2026,Kyondo,Nord-Kivu,1,0
6/8/2026,Lita,Ituri,4,0
6/8/2026,Logo,Ituri,2,0
6/8/2026,Mambasa,Ituri,2,1
6/8/2026,Mangala,Ituri,1,0
6/8/2026,Miti-Murhesa,Sud-Kivu,1,1
6/8/2026,Mongbwalu,Ituri,114,40
6/8/2026,Nizi,Ituri,5,0
6/8/2026,Nyankunde,Ituri,32,1
6/8/2026,Oicha,Nord-Kivu,2,2
6/8/2026,Rimba,Ituri,3,0
6/8/2026,Rwampara,Ituri,122,20
6/9/2026,Aru,Ituri,3,1
6/9/2026,Aungba,Ituri,2,1
6/9/2026,Bambu,Ituri,5,2
6/9/2026,Beni,Nord-Kivu,9,7
6/9/2026,Bunia,Ituri,173,15
6/9/2026,Butembo,Nord-Kivu,6,4
6/9/2026,Damas,Ituri,3,0
6/9/2026,Gety,Ituri,1,0
6/9/2026,Goma,Nord-Kivu,1,0
6/9/2026,Kalunguta,Nord-Kivu,1,1
6/9/2026,Katwa,Nord-Kivu,12,8
6/9/2026,Kilo,Ituri,4,1
6/9/2026,Komanda,Ituri,3,0
6/9/2026,Kyondo,Nord-Kivu,1,0
6/9/2026,Lita,Ituri,5,0
6/9/2026,Logo,Ituri,2,0
6/9/2026,Mambasa,Ituri,2,1
6/9/2026,Mangala,Ituri,1,0
6/9/2026,Miti-Murhesa,Sud-Kivu,3,1
6/9/2026,Mongbwalu,Ituri,127,47
6/9/2026,Nizi,Ituri,5,0
6/9/2026,Nyankunde,Ituri,32,1
6/9/2026,Oicha,Nord-Kivu,2,2
